Participant.Private.ID,condition,contrast,totAttempt,totCorrect,percCorrect
5610774,clear,10,1,1,1
5610774,clear,9,1,1,1
5610774,clear,8,1,1,1
5610774,clear,7,4,4,1
5610774,clear,6,6,6,1
5610774,clear,5,12,9,0.75
5610774,clear,4,9,6,0.6666666666666666
5610774,clear,3,6,0,0
5623534,blur,10,1,1,1
5623534,blur,9,1,1,1
5623534,blur,8,1,1,1
5623534,blur,7,1,1,1
5623534,blur,6,1,1,1
5623534,blur,5,2,2,1
5623534,blur,4,2,2,1
5623534,blur,3,9,8,0.8888888888888888
5623534,blur,2,8,8,1
5623534,blur,1,14,7,0.5
5623534,clear,10,1,1,1
5623534,clear,9,1,1,1
5623534,clear,8,1,1,1
5623534,clear,7,1,1,1
5623534,clear,6,1,1,1
5623534,clear,5,2,2,1
5623534,clear,4,2,2,1
5623534,clear,3,6,5,0.8333333333333334
5623534,clear,2,5,5,1
5623534,clear,1,20,16,0.8
5624292,blur,10,1,1,1
5624292,blur,9,1,1,1
5624292,blur,8,2,2,1
5624292,blur,7,3,3,1
5624292,blur,6,7,6,0.8571428571428571
5624292,blur,5,8,7,0.875
5624292,blur,4,10,6,0.6
5624292,blur,3,5,3,0.6
5624292,blur,2,3,0,0
5624292,clear,10,1,1,1
5624292,clear,9,1,1,1
5624292,clear,8,1,1,1
5624292,clear,7,2,2,1
5624292,clear,6,3,3,1
5624292,clear,5,5,4,0.8
5624292,clear,4,8,7,0.875
5624292,clear,3,9,7,0.7777777777777778
5624292,clear,2,7,3,0.42857142857142855
5624292,clear,1,3,0,0
5631005,blur,10,1,1,1
5631005,blur,9,1,1,1
5631005,blur,8,1,1,1
5631005,blur,7,1,1,1
5631005,blur,6,2,2,1
5631005,blur,5,3,3,1
5631005,blur,4,9,8,0.8888888888888888
5631005,blur,3,10,9,0.9
5631005,blur,2,9,3,0.3333333333333333
5631005,blur,1,3,0,0
5631005,clear,10,1,1,1
5631005,clear,9,2,2,1
5631005,clear,8,2,2,1
5631005,clear,7,2,1,0.5
5631005,clear,6,2,2,1
5631005,clear,5,6,6,1
5631005,clear,4,8,7,0.875
5631005,clear,3,9,5,0.5555555555555556
5631005,clear,2,5,3,0.6
5631005,clear,1,3,0,0
5635923,blur,10,1,1,1
5635923,blur,9,1,1,1
5635923,blur,8,1,1,1
5635923,blur,7,1,1,1
5635923,blur,6,1,1,1
5635923,blur,5,3,3,1
5635923,blur,4,5,5,1
5635923,blur,3,11,9,0.8181818181818182
5635923,blur,2,8,6,0.75
5635923,blur,1,8,2,0.25
5635923,clear,10,1,1,1
5635923,clear,9,1,1,1
5635923,clear,8,1,1,1
5635923,clear,7,1,1,1
5635923,clear,6,1,1,1
5635923,clear,5,1,1,1
5635923,clear,4,1,1,1
5635923,clear,3,7,7,1
5635923,clear,2,7,7,1
5635923,clear,1,19,13,0.6842105263157895
5636687,blur,10,1,1,1
5636687,blur,9,1,1,1
5636687,blur,8,1,1,1
5636687,blur,7,1,1,1
5636687,blur,6,2,2,1
5636687,blur,5,4,4,1
5636687,blur,4,5,4,0.8
5636687,blur,3,10,8,0.8
5636687,blur,2,8,7,0.875
5636687,blur,1,7,1,0.14285714285714285
5636687,clear,10,1,1,1
5636687,clear,9,1,1,1
5636687,clear,8,1,1,1
5636687,clear,7,1,1,1
5636687,clear,6,1,1,1
5636687,clear,5,1,1,1
5636687,clear,4,1,1,1
5636687,clear,3,9,9,1
5636687,clear,2,8,8,1
5636687,clear,1,16,8,0.5
5647580,blur,10,1,1,1
5647580,blur,9,1,1,1
5647580,blur,8,1,1,1
5647580,blur,7,1,1,1
5647580,blur,6,1,1,1
5647580,blur,5,3,3,1
5647580,blur,4,3,3,1
5647580,blur,3,10,8,0.8
5647580,blur,2,8,8,1
5647580,blur,1,11,4,0.36363636363636365
5647580,clear,10,1,1,1
5647580,clear,9,1,1,1
5647580,clear,8,1,1,1
5647580,clear,7,2,2,1
5647580,clear,6,2,2,1
5647580,clear,5,2,1,0.5
5647580,clear,4,2,2,1
5647580,clear,3,9,9,1
5647580,clear,2,9,8,0.8888888888888888
5647580,clear,1,11,4,0.36363636363636365
5647903,blur,10,1,1,1
5647903,blur,9,1,1,1
5647903,blur,8,1,1,1
5647903,blur,7,1,1,1
5647903,blur,6,3,3,1
5647903,blur,5,5,5,1
5647903,blur,4,8,6,0.75
5647903,blur,3,9,7,0.7777777777777778
5647903,blur,2,7,4,0.5714285714285714
5647903,blur,1,4,0,0
5647903,clear,10,1,1,1
5647903,clear,9,1,1,1
5647903,clear,8,1,1,1
5647903,clear,7,1,1,1
5647903,clear,6,1,1,1
5647903,clear,5,1,1,1
5647903,clear,4,2,2,1
5647903,clear,3,9,9,1
5647903,clear,2,8,7,0.875
5647903,clear,1,15,8,0.5333333333333333
5658031,blur,10,1,1,1
5658031,blur,9,1,1,1
5658031,blur,8,1,1,1
5658031,blur,7,1,1,1
5658031,blur,6,2,2,1
5658031,blur,5,6,6,1
5658031,blur,4,8,7,0.875
5658031,blur,3,10,6,0.6
5658031,blur,2,6,3,0.5
5658031,blur,1,4,1,0.25
5658031,clear,10,1,1,1
5658031,clear,9,1,1,1
5658031,clear,8,1,1,1
5658031,clear,7,1,1,1
5658031,clear,6,1,1,1
5658031,clear,5,2,2,1
5658031,clear,4,6,6,1
5658031,clear,3,11,10,0.9090909090909091
5658031,clear,2,10,6,0.6
5658031,clear,1,6,0,0
5668370,blur,10,1,1,1
5668370,blur,9,3,3,1
5668370,blur,8,3,3,1
5668370,blur,7,4,2,0.5
5668370,blur,6,4,4,1
5668370,blur,5,4,3,0.75
5668370,blur,4,4,2,0.5
5668370,blur,3,6,6,1
5668370,blur,2,5,4,0.8
5668370,blur,1,6,2,0.3333333333333333
5668370,clear,10,1,1,1
5668370,clear,9,1,1,1
5668370,clear,8,1,1,1
5668370,clear,7,1,1,1
5668370,clear,6,1,1,1
5668370,clear,5,2,2,1
5668370,clear,4,3,3,1
5668370,clear,3,11,10,0.9090909090909091
5668370,clear,2,10,9,0.9
5668370,clear,1,9,1,0.1111111111111111
5669715,blur,10,1,1,1
5669715,blur,9,2,2,1
5669715,blur,8,3,3,1
5669715,blur,7,3,2,0.6666666666666666
5669715,blur,6,5,4,0.8
5669715,blur,5,7,7,1
5669715,blur,4,8,5,0.625
5669715,blur,3,6,3,0.5
5669715,blur,2,3,2,0.6666666666666666
5669715,blur,1,2,0,0
5669715,clear,10,1,1,1
5669715,clear,9,1,1,1
5669715,clear,8,3,3,1
5669715,clear,7,5,5,1
5669715,clear,6,6,4,0.6666666666666666
5669715,clear,5,5,3,0.6
5669715,clear,4,6,5,0.8333333333333334
5669715,clear,3,6,5,0.8333333333333334
5669715,clear,2,5,2,0.4
5669715,clear,1,2,0,0
5670717,blur,10,1,1,1
5670717,blur,9,1,1,1
5670717,blur,8,1,1,1
5670717,blur,7,1,1,1
5670717,blur,6,1,1,1
5670717,blur,5,2,2,1
5670717,blur,4,4,4,1
5670717,blur,3,11,10,0.9090909090909091
5670717,blur,2,10,8,0.8
5670717,blur,1,8,0,0
5670717,clear,10,1,1,1
5670717,clear,9,1,1,1
5670717,clear,8,1,1,1
5670717,clear,7,1,1,1
5670717,clear,6,1,1,1
5670717,clear,5,1,1,1
5670717,clear,4,3,3,1
5670717,clear,3,10,10,1
5670717,clear,2,9,7,0.7777777777777778
