"","Participant.Private.ID","condition","Reaction.Time","X.Coordinate","Y.Coordinate","video","midDistPx","angle2mid","contrast","offset","absOffset","angError","absAngError"
"3650",5297751,"clear",1327.20000001788,259,250,"50_0right.mp4",-61,-13.4532353064554,"Medium",0,0,-13.4532353064554,13.4532353064554
"3651",5297751,"clear",847.5,171,252,"50_16.mp4",-149,-30.2983302436921,"Medium",-16,16,-14.2983302436921,14.2983302436921
"3652",5297751,"clear",1166.5,125,257,"90_20.mp4",-195,-37.4053566314086,"Low",-20,20,-17.4053566314086,17.4053566314086
"3653",5297751,"clear",777.90000000596,171,247,"16.mp4",-149,-30.2983302436921,"High",-16,16,-14.2983302436921,14.2983302436921
"3654",5297751,"clear",1234.40000000596,295,261,"90_0.mp4",-25,-5.59933933652057,"Low",0,0,-5.59933933652057,5.59933933652057
"3655",5297751,"clear",561.40000000596,277,256,"50_4.mp4",-43,-9.57159565375665,"Medium",-4,4,-5.57159565375665,5.57159565375665
"3656",5297751,"clear",1067.30000001192,285,257,"90_4.mp4",-35,-7.81529354676688,"Low",-4,4,-3.81529354676688,3.81529354676688
"3657",5297751,"clear",879.800000011921,275,253,"8.mp4",-45,-10.0079798014413,"High",-8,8,-2.00797980144134,2.00797980144134
"3658",5297751,"clear",557.5,190,251,"50_20.mp4",-130,-27.0126653479385,"Medium",-20,20,-7.01266534793854,7.01266534793854
"3659",5297751,"clear",1397.69999998808,366,257,"4right.mp4",46,10.2257360191936,"High",4,4,6.22573601919363,6.22573601919363
"3660",5297751,"clear",957.199999988079,355,259,"90_0right.mp4",35,7.81529354676688,"Low",0,0,7.81529354676688,7.81529354676688
"3661",5297751,"clear",1252.5,325,261,"90_12right.mp4",5,1.12330271407543,"Low",12,12,-10.8766972859246,10.8766972859246
"3662",5297751,"clear",1054.70000001788,305,267,"90_4right.mp4",-15,-3.3664606634298,"Low",4,4,-7.3664606634298,7.3664606634298
"3663",5297751,"clear",974.300000011921,207,256,"90_16right.mp4",-113,-23.8999162515336,"Low",16,16,-39.8999162515336,39.8999162515336
"3664",5297751,"clear",724,223,265,"50_12.mp4",-97,-20.8264222664874,"Medium",-12,12,-8.82642226648735,8.82642226648735
"3665",5297751,"clear",3423.5,194,253,"50_4right.mp4",-126,-26.2947900705839,"Medium",4,4,-30.2947900705839,30.2947900705839
"3666",5297751,"clear",855.5,343,259,"50_0.mp4",23,5.1539085612278,"Medium",0,0,5.1539085612278,5.1539085612278
"3667",5297751,"clear",1110.69999998808,405,257,"50_16right.mp4",85,18.434948822922,"Medium",16,16,2.43494882292201,2.43494882292201
"3668",5297751,"clear",1091.89999997616,226,253,"50_8.mp4",-94,-20.235271166382,"Medium",-8,8,-12.235271166382,12.235271166382
"3669",5297751,"clear",1325.69999998808,301,258,"0.mp4",-19,-4.2612232444987,"High",0,0,-4.2612232444987,4.2612232444987
"3670",5297751,"clear",769.5,223,257,"12.mp4",-97,-20.8264222664874,"High",-12,12,-8.82642226648735,8.82642226648735
"3671",5297751,"clear",1563.5,223,264,"90_8right.mp4",-97,-20.8264222664874,"Low",8,8,-28.8264222664874,28.8264222664874
"3672",5297751,"clear",1233.60000002384,429,258,"50_20right.mp4",109,23.1443331629035,"Medium",20,20,3.14433316290349,3.14433316290349
"3673",5371387,"clear",1560.90000000596,440,254,"50_20right.mp4",120,25.2011236454751,"Medium",20,20,5.20112364547507,5.20112364547507
"3674",5371387,"clear",1476.59999999404,327,253,"0.mp4",7,1.57243042767335,"High",0,0,1.57243042767335,1.57243042767335
"3675",5371387,"clear",2211.5,370,253,"50_8right.mp4",50,11.0937230115578,"Medium",8,8,3.09372301155785,3.09372301155785
"3676",5371387,"clear",1628.40000000596,417,255,"90_0.mp4",97,20.8264222664874,"Low",0,0,20.8264222664874,20.8264222664874
"3677",5371387,"clear",1440.40000000596,322,256,"0right.mp4",2,0.449369448707963,"High",0,0,0.449369448707963,0.449369448707963
"3678",5371387,"clear",1857,227,253,"12.mp4",-93,-20.037210169193,"High",-12,12,-8.03721016919298,8.03721016919298
"3679",5371387,"clear",1238.89999999106,319,257,"50_0right.mp4",-1,-0.224688179624502,"Medium",0,0,-0.224688179624502,0.224688179624502
"3680",5371387,"clear",1409.20000000298,266,257,"50_8.mp4",-54,-11.9565842431491,"Medium",-8,8,-3.95658424314913,3.95658424314913
"3681",5371387,"clear",965.20000000298,333,261,"4right.mp4",13,2.91843472078156,"High",4,4,-1.08156527921844,1.08156527921844
"3682",5371387,"clear",1105.10000000894,331,257,"50_0.mp4",11,2.47005129596086,"Medium",0,0,2.47005129596086,2.47005129596086
"3683",5371387,"clear",1153,244,253,"50_12.mp4",-76,-16.5961201921584,"Medium",-12,12,-4.59612019215838,4.59612019215838
"3684",5371387,"clear",973.79999999702,320,254,"90_4.mp4",0,0,"Low",-4,4,4,4
"3685",5371387,"clear",584.70000000298,320,254,"50_4right.mp4",0,0,"Medium",4,4,-4,4
"3686",5371387,"clear",1484,290,257,"90_8.mp4",-30,-6.70983680775693,"Low",-8,8,1.29016319224307,1.29016319224307
"3687",5371387,"clear",890.600000008941,326,253,"90_12.mp4",6,1.3478872801986,"Low",-12,12,13.3478872801986,13.3478872801986
"3688",5371387,"clear",1662,198,253,"50_20.mp4",-122,-25.5679151897432,"Medium",-20,20,-5.56791518974325,5.56791518974325
"3689",5371387,"clear",986.100000008941,232,253,"50_16.mp4",-88,-19.03945395984,"Medium",-16,16,-3.03945395983997,3.03945395983997
"3690",5371387,"clear",1499.5,191,259,"20.mp4",-129,-26.8340434707745,"High",-20,20,-6.83404347077447,6.83404347077447
"3691",5371387,"clear",1672.09999999404,202,252,"16.mp4",-118,-24.8321087623514,"High",-16,16,-8.83210876235144,8.83210876235144
"3692",5371387,"clear",738.29999999702,407,256,"12right.mp4",87,18.8384335579808,"High",12,12,6.83843355798076,6.83843355798076
"3693",5371387,"clear",1826.40000000596,305,257,"50_4.mp4",-15,-3.3664606634298,"Medium",-4,4,0.633539336570199,0.633539336570199
"3694",5371387,"clear",971.09999999404,406,253,"50_12right.mp4",86,18.6369307577068,"Medium",12,12,6.63693075770683,6.63693075770683
