Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?
2,1.64296E+12,23/01/2022 18:08,1.64296E+12,0,23/01/2022 18:08,62188,20,questionnaire-mq5s,,18783752,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,168,No
3,1.64296E+12,23/01/2022 18:08,1.64296E+12,0,23/01/2022 18:08,62188,20,questionnaire-mq5s,,18783752,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,168,No
1,1.64281E+12,21/01/2022 23:24,1.64281E+12,0,21/01/2022 23:24,62188,20,questionnaire-mq5s,,18747569,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,157,No
2,1.64281E+12,21/01/2022 23:25,1.64281E+12,0,21/01/2022 23:25,62188,20,questionnaire-mq5s,,18747569,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,157,No
3,1.64281E+12,21/01/2022 23:25,1.64281E+12,0,21/01/2022 23:25,62188,20,questionnaire-mq5s,,18747569,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,157,No
1,1.6428E+12,21/01/2022 21:14,1.6428E+12,0,21/01/2022 21:14,62188,20,questionnaire-mq5s,,18744814,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,157,No
2,1.6428E+12,21/01/2022 21:14,1.6428E+12,0,21/01/2022 21:14,62188,20,questionnaire-mq5s,,18744814,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,157,No
3,1.6428E+12,21/01/2022 21:14,1.6428E+12,0,21/01/2022 21:14,62188,20,questionnaire-mq5s,,18744814,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,157,No
1,1.64254E+12,18/01/2022 22:27,1.64254E+12,0,18/01/2022 22:27,62188,20,questionnaire-mq5s,,18625869,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,163,No
2,1.64254E+12,18/01/2022 22:28,1.64254E+12,0,18/01/2022 22:28,62188,20,questionnaire-mq5s,,18625869,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
