Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
2,1643481639571,29/01/2022 18:40:39,1643481639905,0,29/01/2022 18:40:39,62188,20,questionnaire-dbtg,,18985368,BLIND,5624292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,193,No,END QUESTIONNAIRE,2749
1,1643470661908,29/01/2022 15:37:41,1643470662253,0,29/01/2022 15:37:42,62188,20,questionnaire-dbtg,,18982408,BLIND,5623534,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1643470664648,29/01/2022 15:37:44,1643470665058,0,29/01/2022 15:37:45,62188,20,questionnaire-dbtg,,18982408,BLIND,5623534,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,2805
1,1643307792061,27/01/2022 18:23:12,1643307792804,0,27/01/2022 18:23:12,62188,20,questionnaire-dbtg,,18940752,BLIND,5610774,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1643307819891,27/01/2022 18:23:39,1643307820661,0,27/01/2022 18:23:40,62188,20,questionnaire-dbtg,,18940752,BLIND,5610774,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,27857
1,1643223762458,26/01/2022 19:02:42,1643223762740,0,26/01/2022 19:02:42,62188,20,questionnaire-dbtg,,18907474,BLIND,5599806,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1643223768561,26/01/2022 19:02:48,1643223768874,0,26/01/2022 19:02:48,62188,20,questionnaire-dbtg,,18907474,BLIND,5599806,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,6134
1,1643135692745,25/01/2022 18:34:52,1643135692518,0,25/01/2022 18:34:52,62188,20,questionnaire-dbtg,,18868717,BLIND,5585959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1643135704094,25/01/2022 18:35:04,1643135703862,0,25/01/2022 18:35:03,62188,20,questionnaire-dbtg,,18868717,BLIND,5585959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,11344
1,1643133143396,25/01/2022 17:52:23,1643133143182,0,25/01/2022 17:52:23,62188,20,questionnaire-dbtg,,18866434,BLIND,5585374,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
