Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
4,1642496985111,18/01/2022 09:09:45,1642496985082,0,18/01/2022 09:09:45,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,33687.799999952316,,,,,0,1,0,,,,,,instructions,
5,1642496988073,18/01/2022 09:09:48,1642496988056,0,18/01/2022 09:09:48,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,2953.2000000476837,,,Right,1,0,1,0,,,,,,response,
6,1642496988146,18/01/2022 09:09:48,1642496988060,0,18/01/2022 09:09:48,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,,,END TASK,,,,,80744,,,,,0,1,0,,,,,,,
1,1642454199540,17/01/2022 21:16:39,1642454202485,0,17/01/2022 21:16:42,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642454206168,17/01/2022 21:16:46,1642454209158,0,17/01/2022 21:16:49,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6620.799999952316,,,,,0,1,0,,,,,,intro,
3,1642454253823,17/01/2022 21:17:33,1642454256844,0,17/01/2022 21:17:36,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,47672.09999990463,,,,,0,1,0,,,,,,video,
4,1642454268722,17/01/2022 21:17:48,1642454271707,0,17/01/2022 21:17:51,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,14860.900000095367,,,,,0,1,0,,,,,,instructions,
5,1642454272245,17/01/2022 21:17:52,1642454275255,0,17/01/2022 21:17:55,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,3536.0999999046326,,,Right,1,0,1,0,,,,,,response,
6,1642454272338,17/01/2022 21:17:52,1642454275265,0,17/01/2022 21:17:55,62188,20,task-9sft,,18578458,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,,,END TASK,,,,,72780,,,,,0,1,0,,,,,,,
1,1642449157870,17/01/2022 19:52:37,1642449160793,0,17/01/2022 19:52:40,62188,20,task-9sft,,18576816,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,168,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
